env,domain,task_id,modality,valueflow_success_mean,valueflow_success_std,source,notes
cube-double-play-singletask-task1-v0,cube-double-play,task1,state,0.97,0.01,Value Flow paper,state-based
cube-double-play-singletask-task2-v0,cube-double-play,task2,state,0.76,0.07,Value Flow paper,state-based
cube-double-play-singletask-task3-v0,cube-double-play,task3,state,0.73,0.04,Value Flow paper,state-based
cube-double-play-singletask-task4-v0,cube-double-play,task4,state,0.30,0.05,Value Flow paper,state-based
cube-double-play-singletask-task5-v0,cube-double-play,task5,state,0.69,0.05,Value Flow paper,state-based
cube-triple-play-singletask-task1-v0,cube-triple-play,task1,state,0.59,0.12,Value Flow paper,state-based
cube-triple-play-singletask-task2-v0,cube-triple-play,task2,state,0.00,0.00,Value Flow paper,state-based
cube-triple-play-singletask-task3-v0,cube-triple-play,task3,state,0.07,0.03,Value Flow paper,state-based
cube-triple-play-singletask-task4-v0,cube-triple-play,task4,state,0.00,0.00,Value Flow paper,state-based
cube-triple-play-singletask-task5-v0,cube-triple-play,task5,state,0.02,0.01,Value Flow paper,state-based
puzzle-3x3-play-singletask-task1-v0,puzzle-3x3-play,task1,state,0.99,0.00,Value Flow paper,state-based
puzzle-3x3-play-singletask-task2-v0,puzzle-3x3-play,task2,state,0.98,0.02,Value Flow paper,state-based
puzzle-3x3-play-singletask-task3-v0,puzzle-3x3-play,task3,state,0.97,0.01,Value Flow paper,state-based
puzzle-3x3-play-singletask-task4-v0,puzzle-3x3-play,task4,state,0.84,0.24,Value Flow paper,state-based
puzzle-3x3-play-singletask-task5-v0,puzzle-3x3-play,task5,state,0.58,0.39,Value Flow paper,state-based
puzzle-4x4-play-singletask-task1-v0,puzzle-4x4-play,task1,state,0.36,0.04,Value Flow paper,state-based
puzzle-4x4-play-singletask-task2-v0,puzzle-4x4-play,task2,state,0.27,0.04,Value Flow paper,state-based
puzzle-4x4-play-singletask-task3-v0,puzzle-4x4-play,task3,state,0.30,0.04,Value Flow paper,state-based
puzzle-4x4-play-singletask-task4-v0,puzzle-4x4-play,task4,state,0.28,0.05,Value Flow paper,state-based
puzzle-4x4-play-singletask-task5-v0,puzzle-4x4-play,task5,state,0.13,0.02,Value Flow paper,state-based
scene-play-singletask-task1-v0,scene-play,task1,state,0.99,0.00,Value Flow paper,state-based
scene-play-singletask-task2-v0,scene-play,task2,state,0.97,0.01,Value Flow paper,state-based
scene-play-singletask-task3-v0,scene-play,task3,state,0.94,0.02,Value Flow paper,state-based
scene-play-singletask-task4-v0,scene-play,task4,state,0.07,0.04,Value Flow paper,state-based
scene-play-singletask-task5-v0,scene-play,task5,state,0.00,0.00,Value Flow paper,state-based
